company_id,contributor_id
1,233
1,234
1,235
1,236
1,237
1,238
1,239
1,240
1,241
1,242
1,243
1,244
1,245
1,246
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
2,776
2,777
2,778
2,758
2,341
2,779
2,780
2,781
2,782
2,783
2,784
2,785
2,786
2,787
2,579
2,788
2,789
2,790
2,791
2,792
2,793
2,794
2,795
2,796
2,797
2,798
2,402
2,799
2,800
2,801
3,861
3,803
3,804
3,815
3,806
3,859
3,808
3,802
3,807
3,816
3,918
3,809
3,919
3,920
3,921
3,922
3,805
3,831
4,1152
4,1153
4,1124
4,1154
4,1155
4,1156
4,1157
4,976
4,1158
4,978
4,1071
4,996
4,1159
4,1031
4,1102
4,1160
4,1161
4,961
4,931
4,1162
4,1074
4,1065
4,1163
4,1164
4,1022
4,1165
4,1166
4,1167
4,1168
4,1169
5,1582
5,1583
5,1584
5,1585
5,1586
5,1587
5,1588
5,1589
5,1590
5,1328
5,1283
5,1591
5,1592
5,1593
5,1594
5,1595
5,1347
5,1596
5,1398
5,1597
5,1598
5,1177
5,1599
5,1600
5,1186
5,1601
5,1246
5,1602
5,1603
5,1604
6,1872
6,1891
6,1892
6,1893
6,1894
6,1895
6,1667
6,1769
6,1896
6,1897
6,1898
6,1899
6,1900
6,1901
6,1902
6,1606
6,1656
6,1903
6,1904
6,1905
6,1790
6,1805
6,1906
6,1907
6,1908
6,1909
6,1910
6,1911
6,1912
6,1913
7,219
7,1934
7,2075
7,2253
7,2020
7,2011
7,2068
7,2254
7,2213
7,2084
7,2219
7,2078
7,2255
7,1960
7,2256
7,1974
7,1921
7,1972
7,2095
7,1927
7,2010
7,2257
7,2258
7,1916
7,1939
7,2036
7,2259
7,1982
7,2033
7,2260
8,2273
8,1897
8,2262
8,2404
8,2068
8,2346
8,1911
8,2513
8,217
8,2444
8,2310
8,869
8,2086
8,2263
8,2265
8,2366
8,2386
8,1113
8,898
8,2286
8,2261
8,2312
8,2308
8,2348
8,213
8,2362
8,2349
8,2405
8,2226
8,2264
9,2684
9,2685
9,2560
9,2686
9,2687
9,2688
9,2689
9,2631
9,2690
9,2691
9,2692
9,2693
9,2563
9,2694
9,2695
9,2696
9,2697
9,2698
9,2699
9,2519
9,2700
9,147
9,2525
9,2616
9,2644
9,2701
9,2573
9,2526
9,2702
9,2522
10,2705
10,2708
10,2707
10,3025
10,2725
10,2732
10,3026
10,2706
10,2704
10,2710
10,2786
10,2406
10,2709
10,2724
10,2820
10,2922
10,2793
10,2712
10,2814
11,460
11,3191
11,190
11,204
12,3366
12,3367
12,3267
12,3240
12,3064
12,3255
12,3281
12,3220
12,3368
12,3369
12,3199
12,3268
12,3370
12,3371
12,3256
12,3372
12,3058
12,3060
12,3263
12,3056
12,3264
12,3319
12,3063
12,3062
12,3260
12,3373
12,3236
12,3374
12,1280
12,3375
13,1101
13,1591
13,1272
13,3412
13,3409
13,1273
13,3413
13,3414
13,1253
13,1267
13,1104
13,1257
13,1277
13,3415
13,3416
13,1445
13,1254
13,1261
13,1255
13,1258
13,3376
13,1260
13,1483
13,3417
13,3195
13,3379
13,1269
13,1170
13,3418
13,1262
14,3624
14,3473
14,3484
14,3436
14,3625
14,3547
14,3626
14,3627
14,3628
14,3502
14,3598
14,3629
14,3421
14,3630
14,3429
14,3427
14,3631
14,3632
14,3425
14,3432
14,3633
14,3468
14,3634
14,3433
14,3430
14,3492
14,3434
14,3585
14,3423
14,3635
15,3652
15,3666
15,3660
15,3664
15,3649
15,3645
15,3825
15,3650
15,3700
15,3674
15,3639
15,3641
15,3684
15,3826
15,3827
15,3659
15,3828
15,3829
15,3636
15,3830
15,3831
15,3657
15,3644
15,3696
15,3832
15,3651
16,4049
16,4053
16,4054
16,4055
16,4056
16,4057
16,4050
16,4058
16,4059
16,4060
16,4061
16,4062
16,4063
16,4064
16,4065
16,4066
16,4067
16,4068
16,4069
16,796
16,4070
16,4071
16,4014
16,4072
16,4073
16,4074
16,3846
16,3989
16,4075
16,4076
17,4453
17,4454
17,4455
17,4456
17,4457
17,4458
17,4459
17,4460
17,4461
17,4462
17,4463
17,4464
17,4309
17,4452
17,4465
17,4466
17,4467
17,4468
17,4392
17,4469
17,4331
17,4470
17,4471
17,4472
17,4473
17,4474
17,4475
17,4476
17,4477
17,4422
18,4630
18,4480
18,4758
18,4759
18,4484
18,4760
18,4714
18,4511
18,4512
18,4538
18,4761
18,4762
18,4645
18,4504
18,4557
18,4496
18,4715
18,4687
18,4763
18,4764
18,4765
18,4528
18,4766
18,4767
18,4768
18,4769
18,4690
18,4633
18,4770
18,4628
19,4771
19,4775
19,4773
19,828
19,4772
20,4892
20,4886
